cage,ovi_id,tam_add,total,pd,psy,yld,pests,barn,plant,tam_ct,harvest,date,plant_common
212,1116202,200,110,0,0,0,0,3,M. paniculata,16,harv_1,2020-12-08,O. Jasmine
212,1116202,200,110,0,0,0,0,3,M. paniculata,39,harv_2,2020-12-09,O. Jasmine
212,1116202,200,110,0,0,0,0,3,M. paniculata,19,harv_3,2020-12-10,O. Jasmine
212,1116202,200,110,0,0,0,0,3,M. paniculata,NA,harv_4,NA,O. Jasmine
212,1116202,200,110,0,0,0,0,3,M. paniculata,NA,harv_5,NA,O. Jasmine
212,1116202,200,110,0,0,0,0,3,M. paniculata,36,cleaned,2020-12-14,O. Jasmine
213,1117201,200,107,0,0,0,0,3,M. paniculata,40,harv_1,2020-12-07,O. Jasmine
213,1117201,200,107,0,0,0,0,3,M. paniculata,12,harv_2,2020-12-08,O. Jasmine
213,1117201,200,107,0,0,0,0,3,M. paniculata,36,harv_3,2020-12-09,O. Jasmine
213,1117201,200,107,0,0,0,0,3,M. paniculata,19,harv_4,2020-12-10,O. Jasmine
213,1117201,200,107,0,0,0,0,3,M. paniculata,NA,harv_5,NA,O. Jasmine
213,1117201,200,107,0,0,0,0,3,M. paniculata,0,cleaned,2020-12-17,O. Jasmine
214,1117202,200,63,0,0,0,0,3,M. paniculata,29,harv_1,2020-12-07,O. Jasmine
214,1117202,200,63,0,0,0,0,3,M. paniculata,14,harv_2,2020-12-08,O. Jasmine
214,1117202,200,63,0,0,0,0,3,M. paniculata,20,harv_3,2020-12-09,O. Jasmine
214,1117202,200,63,0,0,0,0,3,M. paniculata,NA,harv_4,NA,O. Jasmine
214,1117202,200,63,0,0,0,0,3,M. paniculata,NA,harv_5,NA,O. Jasmine
214,1117202,200,63,0,0,0,0,3,M. paniculata,0,cleaned,2020-12-17,O. Jasmine
215,1117203,200,196,0,12,0,0,3,M. paniculata,22,harv_1,2020-12-07,O. Jasmine
215,1117203,200,196,0,12,0,0,3,M. paniculata,24,harv_2,2020-12-08,O. Jasmine
215,1117203,200,196,0,12,0,0,3,M. paniculata,47,harv_3,2020-12-09,O. Jasmine
215,1117203,200,196,0,12,0,0,3,M. paniculata,17,harv_4,2020-12-10,O. Jasmine
215,1117203,200,196,0,12,0,0,3,M. paniculata,86,harv_5,2020-12-11,O. Jasmine
215,1117203,200,196,0,12,0,0,3,M. paniculata,0,cleaned,2020-12-18,O. Jasmine
216,1118201,200,301,0,150,0,0,3,M. paniculata,2,harv_1,2020-12-07,O. Jasmine
216,1118201,200,301,0,150,0,0,3,M. paniculata,4,harv_2,2020-12-08,O. Jasmine
216,1118201,200,301,0,150,0,0,3,M. paniculata,12,harv_3,2020-12-09,O. Jasmine
216,1118201,200,301,0,150,0,0,3,M. paniculata,4,harv_4,2020-12-10,O. Jasmine
216,1118201,200,301,0,150,0,0,3,M. paniculata,259,harv_5,2020-12-11,O. Jasmine
216,1118201,200,301,0,150,0,0,3,M. paniculata,20,cleaned,2020-12-21,O. Jasmine
217,1118202,200,133,0,5,0,0,3,M. paniculata,8,harv_1,2020-12-07,O. Jasmine
217,1118202,200,133,0,5,0,0,3,M. paniculata,5,harv_2,2020-12-08,O. Jasmine
217,1118202,200,133,0,5,0,0,3,M. paniculata,9,harv_3,2020-12-09,O. Jasmine
217,1118202,200,133,0,5,0,0,3,M. paniculata,17,harv_4,2020-12-10,O. Jasmine
217,1118202,200,133,0,5,0,0,3,M. paniculata,88,harv_5,2020-12-16,O. Jasmine
217,1118202,200,133,0,5,0,0,3,M. paniculata,6,cleaned,2020-12-21,O. Jasmine
218,1120201,200,0,2,0,0,0,3,M. paniculata,NA,harv_1,NA,O. Jasmine
218,1120201,200,0,2,0,0,0,3,M. paniculata,NA,harv_2,NA,O. Jasmine
218,1120201,200,0,2,0,0,0,3,M. paniculata,NA,harv_3,NA,O. Jasmine
218,1120201,200,0,2,0,0,0,3,M. paniculata,NA,harv_4,NA,O. Jasmine
218,1120201,200,0,2,0,0,0,3,M. paniculata,NA,harv_5,NA,O. Jasmine
218,1120201,200,0,2,0,0,0,3,M. paniculata,0,cleaned,2020-12-21,O. Jasmine
219,1120202,200,162,0,0,0,0,3,M. paniculata,25,harv_1,2020-12-11,O. Jasmine
219,1120202,200,162,0,0,0,0,3,M. paniculata,73,harv_2,2020-12-14,O. Jasmine
219,1120202,200,162,0,0,0,0,3,M. paniculata,30,harv_3,2020-12-16,O. Jasmine
219,1120202,200,162,0,0,0,0,3,M. paniculata,20,harv_4,2020-12-17,O. Jasmine
219,1120202,200,162,0,0,0,0,3,M. paniculata,14,harv_5,2020-12-18,O. Jasmine
219,1120202,200,162,0,0,0,0,3,M. paniculata,0,cleaned,2020-12-21,O. Jasmine
220,1123202,200,355,0,40,0,0,3,M. paniculata,19,harv_1,2020-12-14,O. Jasmine
220,1123202,200,355,0,40,0,0,3,M. paniculata,56,harv_2,2020-12-16,O. Jasmine
220,1123202,200,355,0,40,0,0,3,M. paniculata,80,harv_3,2020-12-17,O. Jasmine
220,1123202,200,355,0,40,0,0,3,M. paniculata,70,harv_4,2020-12-18,O. Jasmine
220,1123202,200,355,0,40,0,0,3,M. paniculata,99,harv_5,2020-12-21,O. Jasmine
220,1123202,200,355,0,40,0,0,3,M. paniculata,31,cleaned,2020-12-22,O. Jasmine
